Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TS_Momentum_12M,TS_Momentum_3M,Momentum_Score,Is_Momentum_Stock,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
SBILIFE,2025-12-26,2025.4,2034.9,2004.1,2019.1,180039,2013.214277926518,1973.7230251768337,1826.3930609236213,48.1147540983606,13.223918501571916,16.028039328877398,-2.804120827305482,27.821428571428555,2052.953496008607,1967.8665039913928,0.04232320373317594,2052.2,1951.2,0.2819120488710811,,,0.44159645866057406,0.11116614385559398,3,1,1,0,0,1,0,2019.3666666666668,2034.6333333333337,2003.8333333333335,2019.5,27.821428571428555,2102.964285714286,1936.0357142857142,1950.9142857142856,2,0
SBIETFQLTY,2025-12-26,232.88,233.56,231.6,232.25,933,230.60547765262547,229.2442245880507,224.12151323864597,48.40538625088594,0.6771150212966006,0.3825817278563448,0.2945332934402558,3.0421428571428573,233.91559616309894,227.04340383690106,0.029816935242387613,238.92,223.47,0.4652090449004014,,,0.044994375703037104,0.033646357203257926,2,0,1,0,0,1,0,232.47,233.34,231.38,232.57999999999998,3.0421428571428573,241.70642857142855,223.45357142857142,225.50714285714284,2,0
RADICO,2025-12-26,3301.9,3325.4,3265.1,3305.3,303155,3226.8352034050135,3178.289741129528,2839.5019573608934,58.69492095526404,15.861363671769595,4.860908108737063,11.000455563032531,98.09285714285718,3322.8605039430136,3106.419496056987,0.06732978121532315,3335.0,3062.0,1.2262522462212415,,,0.32806975249116044,0.11315798336308225,5,1,1,0,0,1,0,3298.6,3332.1,3271.7999999999997,3295.25,98.09285714285718,3589.5285714285715,3000.9714285714285,3127.4,2,0
OILIETF,2025-12-26,12.19,12.19,12.07,12.1,867972,12.09688788340644,12.01473433127083,11.670658865600515,52.054794520547915,0.00556039219096327,0.0005227097039150923,0.005037682487048178,0.15571428571428556,12.235722054950116,11.914277945049882,0.026620630219481103,12.35,11.84,0.6857952022258407,,,0.1318989710009355,0.05954465849387036,5,1,1,0,0,1,0,12.12,12.169999999999998,12.049999999999999,12.129999999999999,0.15571428571428556,12.597142857142856,11.662857142857142,11.915714285714285,2,0
AXISBPSETF,2025-12-26,13.06,13.18,12.93,13.11,101342,13.064037866294768,13.032304791649208,12.793536088657904,53.12499999999989,0.012018674243659433,0.010773245698022496,0.0012454285456369365,0.33785714285714263,13.121351648073334,13.013648351926664,0.008242073552452316,13.44,12.68,0.37739320065124554,,,0.07901234567901216,0.010794140323824086,3,1,1,0,0,1,0,13.073333333333332,13.216666666666665,12.966666666666665,13.055,0.33785714285714263,14.068571428571428,12.041428571428572,12.649285714285712,2,0
BHARATFORG,2025-12-26,1447.3,1460.0,1438.0,1443.8,544143,1420.8975413446146,1375.1022124218223,1288.5772841419391,60.488346281908946,19.735458282899344,18.653639224741024,1.0818190581583202,29.84999999999999,1467.6991222270071,1369.5808777729926,0.06916359644026289,1470.6,1347.5,0.795728819616931,,,0.12893893189459682,0.19421009098428454,5,1,1,0,0,1,0,1447.2666666666667,1456.5333333333333,1434.5333333333333,1449.0,29.84999999999999,1538.55,1359.45,1369.1214285714286,2,0
CANBK,2025-12-26,149.8,150.85,148.96,150.07,12422858,148.10238639595542,142.0382280798705,122.12365245886889,53.3426834969612,1.8856633323312053,2.139064676525038,-0.25340134419383276,3.1428571428571366,153.06072992576418,143.79727007423583,0.062410040164175146,154.21,141.11,0.5569815808506531,,,0.5065756450155605,0.22097469693271488,4,1,1,0,0,1,0,149.96,150.96,149.07000000000002,149.905,3.1428571428571366,159.33357142857142,140.47642857142858,142.94214285714287,2,0
CANFINHOME,2025-12-26,945.0,971.5,916.9,925.35,449654,916.0572073035827,884.2347488014126,810.3509431113648,60.207900207900245,15.301051459716973,15.026391689896938,0.27465976982003504,22.80714285714287,947.9691125735295,880.6908874264703,0.07358199462673125,971.5,880.25,1.888854116564765,,,0.2375952922295037,0.18977820636451304,5,1,1,0,0,1,0,937.9166666666666,958.9333333333333,904.3333333333333,944.2,22.80714285714287,1012.6214285714286,875.7785714285715,875.7785714285715,2,0
AXISTECETF,2025-12-26,427.98,427.98,418.19,419.37,8006,416.3863496313047,406.11432860893103,401.6216608326873,45.95469255663431,6.022381511564902,6.238036621042498,-0.2156551094775958,7.385714285714284,429.3641272726061,404.77887272739395,0.05894733767522388,439.67,406.34,0.42900010716964954,,,-0.10308616891588418,0.10605021626753874,2,0,1,0,0,1,0,421.84666666666664,425.5033333333333,415.71333333333325,423.08500000000004,7.385714285714284,445.2421428571429,400.9278571428572,408.1171428571429,2,0
BAJAJ-AUTO,2025-12-26,9182.5,9185.5,9052.0,9064.5,105815,9027.04701247431,8975.11534573721,8793.051430736727,48.103962505325946,27.58903561481202,17.46332190872517,10.125713706086849,143.67857142857142,9203.304473296079,8863.645526703922,0.0376000317255715,9194.5,8735.0,0.34667436362492665,,,0.03155139548778063,0.025511935739336966,2,0,1,0,0,1,0,9100.666666666666,9149.333333333332,9015.833333333332,9118.75,143.67857142857142,9549.785714285714,8687.714285714286,8720.92857142857,2,0
CEATLTD,2025-12-26,3875.0,3894.7,3825.5,3857.8,57903,3855.8687147312708,3825.7381961932247,3527.6737502338433,46.45896437328719,-4.091053117484535,-13.362540284871319,9.271487167386784,107.82142857142854,3991.760392647224,3700.7896073527763,0.07565002120088853,3995.0,3655.2,0.5587852117773081,,,0.28125674620966823,0.11661697878375632,4,1,1,0,0,1,0,3859.3333333333335,3893.166666666667,3823.966666666667,3860.1,107.82142857142854,4183.564285714286,3536.635714285714,3903.6071428571427,2,0
CENTURYPLY,2025-12-26,832.25,834.9,820.1,826.9,25112,818.473211407711,799.6846551455542,772.9428529151719,59.442379182156124,11.701021432996413,13.054664021119555,-1.353642588123142,25.64642857142857,853.1048010146593,787.9801989853405,0.07936773784333999,854.9,775.65,0.2858565765396579,,,0.07410534519711631,0.01973116290541377,2,0,1,0,0,1,0,827.3000000000001,834.5000000000001,819.7000000000002,827.5,25.64642857142857,904.4392857142857,750.5607142857143,774.5285714285715,2,0
PNB,2025-12-26,120.77,120.98,119.45,120.37,8339634,120.11154963265056,119.13383689737073,111.83956544447732,46.20181405895694,-0.1289710401185431,-0.318481268280775,0.1895102281622319,2.336428571428572,125.33057573133235,114.65842426866763,0.08893867187800038,127.8,115.13,0.5337572960312261,,,0.19450233204326683,0.08431672822268266,4,1,1,0,0,1,0,120.26666666666667,121.08333333333333,119.55333333333333,120.215,2.336428571428572,127.22428571428571,113.2057142857143,119.25142857142858,2,0
NYKAA,2025-12-26,258.1,261.4,257.5,259.45,2463160,254.5191661794653,253.59023797373231,227.31927035496435,56.48535564853554,-0.9834846486885738,-1.9132363014707126,0.9297516527821388,6.660714285714282,266.701084492096,241.369915507904,0.09971507519300256,270.5,240.95,0.47749333639105657,,,0.5505288949979081,0.09449483231385769,5,1,1,0,0,1,0,259.45,261.4,257.5,259.45,6.660714285714282,279.4321428571428,239.46785714285716,247.4392857142857,2,0
NV20IETF,2025-12-26,15.44,15.65,15.05,15.16,327380,15.05522526328232,14.907833093862612,14.652792403238852,52.11267605633798,0.07884221485712573,0.07183797863930534,0.007004236217820384,0.35928571428571426,15.22414646409512,14.885853535904875,0.022470470155446405,15.65,14.57,0.8393846734481332,,,0.0006600660066007347,0.04479669193659541,3,1,1,0,0,1,0,15.286666666666667,15.523333333333333,14.923333333333334,15.350000000000001,0.35928571428571426,16.427857142857142,14.272142857142859,14.499285714285714,2,0
