Stock,Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI14,MACD,Signal,Histogram,ATR14,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_20_High,Donchian_20_Low,RVOL20,RS_vs_NIFTY,RS_ROC20,TrendContinuation_Flag,Breakout_Flag,VCP_Flag,SEPA_Flag,MeanReversion_Flag,Pivot,Pivot_R1,Pivot_S1,HL2,ATR_Super,Upper_Band,Lower_Band,Supertrend,CompositeScore,RS_Leader_Flag
LT,2025-12-22,4081.0,4098.5,4068.5,4072.4,764774,4034.3897028636698,3958.6488605128616,3726.711732318296,55.88979477087434,26.99949288840935,28.362415191744276,-1.3629223033349263,57.2928571428572,4113.908559583161,3964.3014404168403,0.03703967071079382,4140.0,3949.1,0.552396654506256,,,1,0,0,1,0,4079.7999999999997,4091.0999999999995,4061.0999999999995,4083.5,57.2928571428572,4255.378571428571,3911.6214285714286,3932.9357142857143,2,0
KOTAKBANK,2025-12-22,2170.0,2176.0,2147.1,2149.7,1808226,2147.781791726911,2124.788357262564,2060.9271717620054,52.34425176621699,14.413808601414985,14.313869833515941,0.09993876789904377,31.69285714285716,2203.0552224389344,2086.044777561066,0.054561770477661226,2205.0,2066.7,0.6575087413097563,,,1,0,0,1,0,2157.6,2168.1,2139.2,2161.55,31.69285714285716,2256.628571428572,2066.4714285714285,2113.678571428571,2,0
KOTAKNIFTY,2025-12-22,286.33,288.81,286.33,288.57,221281,286.0910150107774,283.9837092785625,274.41779692297416,54.14847161572049,0.49850890029927086,0.6132585029931551,-0.11474960269388423,2.820000000000001,289.84372968329046,283.3642703167095,0.022607707382245032,295.8,282.64,1.087792061975552,,,1,0,0,1,0,287.90333333333336,289.47666666666674,286.9966666666667,287.57,2.820000000000001,296.03,279.11,283.26571428571424,2,0
BAJAJ-AUTO,2025-12-22,9010.0,9185.0,8997.5,9164.0,377385,8998.025278105348,8957.827424431453,8781.676187581521,53.48733896046202,9.892825354361776,10.442607152008023,-0.5497817976462471,142.57142857142858,9193.948054143473,8863.101945856526,0.03664453587789225,9254.5,8735.0,1.06997743431668,,,0,0,0,1,0,9115.5,9233.5,9046.0,9091.25,142.57142857142858,9518.964285714286,8663.535714285714,8720.92857142857,1,1
HDFCLIFE,2025-12-22,766.0,769.05,759.95,761.8,767829,764.4496074583673,762.7236067845997,742.3453244492091,51.64705882352938,0.4006346144216195,1.5567011338912873,-1.1560665194696678,14.753571428571417,783.8872008040921,749.0627991959079,0.04543449115520296,788.5,745.2,0.38846106776011785,,,1,0,0,0,0,763.6,767.25,758.1500000000001,764.5,14.753571428571417,808.7607142857142,720.2392857142858,766.3071428571427,1,0
HEROMOTOCO,2025-12-22,5793.5,5793.5,5681.0,5699.5,1213460,5919.662529040487,5775.221381785641,5099.080780398077,20.92668024439918,-8.811384138143694,59.56008416821631,-68.37146830636,135.35714285714286,6446.304891697278,5655.345108302721,0.13071932891705795,6388.5,5513.0,1.6757264983349551,,,0,0,0,0,1,5724.666666666667,5768.333333333334,5655.833333333334,5737.25,135.35714285714286,6143.321428571428,5331.178571428572,6014.071428571428,1,0
BRITANNIA,2025-12-22,6102.5,6102.5,6066.0,6083.0,206588,5963.204473071701,5923.928526550291,5708.570935245627,62.99311208515968,49.73030950746943,23.19350594106654,26.536803566402888,110.89285714285714,6133.72020655338,5718.27979344662,0.07010469340309827,6145.0,5780.0,0.9090629067588749,,,0,0,0,1,0,6083.833333333333,6101.666666666666,6065.166666666666,6084.25,110.89285714285714,6416.928571428572,5751.571428571428,5823.892857142857,1,1
ASIANPAINT,2025-12-22,2785.8,2823.1,2780.3,2807.6,463953,2811.566678918107,2731.79774800239,2566.4128159135703,28.52545348156815,10.037473136861081,30.023711684978643,-19.986238548117562,49.38571428571429,2994.049337991153,2706.1006620088465,0.10103196441578088,2985.7,2746.0,0.4124432144173463,,,0,0,0,0,1,2803.6666666666665,2827.033333333333,2784.233333333333,2801.7,49.38571428571429,2949.8571428571427,2653.542857142857,2823.0642857142857,1,1
WIPRO,2025-12-22,267.51,273.1,266.8,272.67,14651313,258.2806612946715,252.51330710268104,255.16653013803398,81.70800450958296,5.206051196078306,4.234612596339806,0.9714385997384998,4.234285714285714,270.47540266365064,244.18359733634938,0.10217174994433698,273.1,244.0,1.8098105074629403,,,0,1,0,0,0,270.85666666666674,274.91333333333347,268.61333333333346,269.95000000000005,4.234285714285714,282.6528571428572,257.2471428571429,257.2471428571429,1,0
EICHERMOT,2025-12-22,7238.0,7310.0,7213.0,7291.5,233966,7136.2394543328,6998.210578015578,6225.042491253987,60.455607476635514,55.431517086487474,55.426855218865136,0.004661867622338889,119.82142857142857,7303.568500265817,6997.231499734182,0.04284193898685886,7328.5,6956.0,0.5183147890717161,,,0,0,0,1,0,7271.5,7330.0,7233.0,7261.5,119.82142857142857,7620.964285714285,6902.035714285715,6902.035714285715,1,0
