EntryDate,EntryPrice,ExitDate,ExitPrice,R,Qty,Pnl
2023-10-19,1450.35,2023-11-17,1498.45,1.027072370929611,21,1010.1000000000029
2023-10-30,1454.65,2023-11-28,1477.55,0.48410721026802145,21,480.89999999999714
2023-11-02,1461.2,2023-12-01,1461.05,-0.0030036472859919536,20,-3.000000000001819
2023-12-07,1504.75,2024-01-05,1643.2,3.1505546751188676,22,3045.900000000001
2023-06-30,1335.5,2023-07-28,1340.5,0.17832123296395294,35,175.0
2023-10-11,1494.4,2023-11-09,1374.8,-2.951524766437504,24,-2870.4000000000033
2024-01-15,1652.1,2024-02-13,1684.55,0.5822679355314174,17,551.6500000000008
2024-02-02,1693.35,2024-03-01,1654.7,-0.7797953595618942,20,-772.9999999999973
2024-08-22,1880.25,2024-09-19,1894.2,0.23905260258881905,17,237.15000000000077
2025-01-10,1966.95,2025-02-06,1915.65,-0.7619350732017817,14,-718.1999999999994
2024-09-27,522.7,2024-10-28,484.15,-3.461279461279471,89,-3430.950000000006
2023-06-30,784.8,2023-07-28,804.15,0.7948943661971836,41,793.3500000000009
2023-08-10,831.5,2023-09-08,815.75,-0.5973181633482326,37,-582.75
2023-12-27,875.9,2024-01-24,812.2,-2.0367705835331726,31,-1974.699999999998
2024-04-25,905.8,2024-05-24,908.65,0.08090024330900314,28,79.80000000000064
2024-05-17,907.45,2024-06-14,921.15,0.3593779276747214,26,356.1999999999982
2024-09-12,954.8,2024-10-11,1012.05,1.8264684099584125,31,1774.75
2025-03-05,1002.7,2025-04-04,1005.75,0.08566556324606159,28,85.39999999999873
2025-08-04,1055.9,2025-09-03,1072.2,0.4726105415760569,28,456.3999999999987
2025-08-18,1079.8,2025-09-16,1115.2,0.9641085497519718,27,955.8000000000025
2025-09-05,1073.1,2025-10-06,1159.9,2.9696969696969675,34,2951.200000000006
2025-10-29,1207.9,2025-11-27,1160.6,-1.2729719338715932,26,-1229.8000000000047
2024-09-12,1827.45,2024-10-11,1882.4,1.555319686631289,28,1538.6000000000013
2025-01-20,1920.5,2025-02-14,1952.4,0.4416425622388696,13,414.7000000000012
2025-02-19,1985.0,2025-03-21,2079.0,1.508741759816563,16,1504.0
2025-03-13,1985.1,2025-04-16,2123.4,2.5252861195343868,18,2489.4000000000033
2025-04-21,2241.4,2025-05-20,2090.1,-1.8566044350951003,12,-1815.6000000000022
2025-07-09,2229.3,2025-08-06,2002.4,-3.7270913997418798,16,-3630.4000000000015
2023-04-27,2305.6,2023-05-26,2218.45,-1.3752641812494715,15,-1307.2500000000014
2024-03-27,3706.4,2024-04-29,3634.3,-0.6323967045703726,8,-576.7999999999993
2024-06-12,3630.3,2024-07-11,3621.1,-0.043175113971575495,4,-36.80000000000109
2024-07-29,3774.95,2024-08-27,3702.7,-0.5566562104452156,7,-505.75
2024-09-17,3695.2,2024-10-16,3532.6,-1.746274667740632,10,-1625.999999999999
2024-05-02,2185.15,2024-05-30,2493.5,3.386202298309603,10,3083.499999999999
2024-07-29,2933.0,2024-08-27,2780.8,-1.2160538743597415,7,-1065.3999999999987
2025-01-02,3211.1,2025-01-30,2971.45,-2.106350252691715,8,-1917.2000000000007
2025-06-20,3184.4,2025-07-18,3192.4,0.07524606133897685,9,72.0
2025-07-21,3246.7,2025-08-19,3354.0,1.1074495926867969,10,1073.0000000000018
2025-08-13,3282.2,2025-09-12,3589.9,2.928981812000679,9,2769.3000000000025
2025-09-04,3481.5,2025-10-03,3462.0,-0.13553768245457248,6,-117.0
2025-11-07,3690.2,2025-12-05,3717.1,0.2498673036093427,9,242.10000000000082
2023-07-05,9992.3,2023-08-02,9653.8,-1.3796215429403187,4,-1354.0
2023-10-16,10704.5,2023-11-13,10398.4,-1.0985669973595855,3,-918.3000000000011
2024-03-21,11908.15,2024-04-24,12944.05,3.2206528980679563,3,3107.699999999999
2024-05-24,13000.45,2024-06-24,12183.4,-2.0190097961344957,2,-1634.1000000000022
2024-06-11,12863.65,2024-07-10,12772.8,-0.17482440586642564,1,-90.85000000000036
2025-06-17,12595.0,2025-07-15,12536.0,-0.1780364263390453,3,-177.0
2024-07-24,392.6,2024-08-22,403.35,0.6413124533929907,59,634.25
2024-09-17,416.3,2024-10-16,424.25,0.5455882352941175,68,540.5999999999992
2024-04-15,279.85,2024-05-15,273.45,-0.5648542159180503,88,-563.200000000003
2023-12-05,222.3,2024-01-03,237.05,2.302118171683394,156,2301.0
2024-01-29,253.95,2024-02-26,287.8,3.54781957701666,104,3520.4000000000024
2024-02-20,287.9,2024-03-19,259.0,-1.7224350787569183,59,-1705.0999999999985
2024-02-27,292.5,2024-03-27,270.25,-1.4907872696817408,67,-1490.75
2024-04-19,281.65,2024-05-18,316.9,3.365728900255757,95,3348.75
2024-06-13,321.45,2024-07-12,343.1,0.8946941185152396,41,887.6500000000015
2024-07-31,348.2,2024-08-29,333.3,-1.0726314436302855,71,-1057.8999999999983
2023-07-06,1257.6,2023-08-03,1237.95,-0.7257617728531793,36,-707.3999999999951
2023-08-16,1287.6,2023-09-13,1225.5,-1.9349023535302934,31,-1925.0999999999972
2024-04-08,1486.0,2024-05-09,1394.1,-2.6724827335514347,29,-2665.1000000000026
2024-04-10,1479.6,2024-05-13,1402.7,-2.214201244279904,28,-2153.199999999996
2025-06-26,1495.3,2025-07-24,1402.9,-2.553745928338753,27,-2494.7999999999965
2024-01-10,1451.45,2024-02-08,1459.05,0.17200129324280417,22,167.199999999998
